Anole ID,Site,Color,Limb Length (mm),Mass (g),Perch Diameter (cm),Perch Height (cm),Snout-Vent Length (mm),Tail Length (mm)
1,A,Green,14.3,6.46,8.0,164.0,61.8,43.9
2,A,Brown,NA,6.83,27.0,139.0,54.3,67.3
3,A,Brown,12.3,5.82,18.0,151.0,57.1,42.2
4,A,Blue,10.5,4.29,36.0,130.0,49.1,25.0
5,A,Brown,10.3,5.29,31.0,131.0,51.2,38.2
6,A,Brown,10.9,5.69,20.0,138.0,51.5,46.9
7,A,Brown,10.4,5.84,25.0,137.0,45.3,59.0
8,A,Green,11.1,5.91,7.0,138.0,49.7,47.6
9,A,Brown,10.0,5.09,20.0,141.0,48.0,34.9
10,A,Brown,12.3,7.2,19.0,129.0,54.9,61.0
11,A,Blue,13.1,NA,27.0,147.0,56.7,66.9
12,A,Brown,11.2,6.66,15.0,134.0,52.7,50.4
13,A,Blue,11.0,6.68,31.0,143.0,53.8,49.5
14,A,Blue,12.1,5.67,35.0,150.0,50.8,51.7
15,A,Green,11.7,7.28,10.0,145.0,56.5,80.0
16,A,Brown,10.6,6.55,19.0,133.0,49.9,56.6
17,A,Blue,10.8,6.02,30.0,148.0,50.1,57.9
18,A,Blue,11.4,5.72,32.0,134.0,50.7,48.8
19,A,Brown,10.8,5.64,24.0,143.0,52.5,33.7
20,A,Blue,10.1,5.4,27.0,133.0,48.2,45.7
21,A,Blue,10.6,5.53,36.0,134.0,46.1,50.3
22,A,Blue,10.8,5.27,30.0,141.0,51.2,43.3
23,A,Brown,12.1,5.69,19.0,148.0,51.1,42.9
24,A,Brown,12.8,7.89,26.0,139.0,56.0,49.2
25,A,Blue,12.5,6.18,28.0,140.0,52.9,48.4
26,A,Brown,11.5,6.53,20.0,145.0,51.4,63.9
27,A,Blue,10.9,5.73,29.0,146.0,47.0,56.5
28,A,Brown,12.0,6.18,26.0,143.0,54.6,54.7
29,B,Brown,13.7,7.57,23.0,162.0,67.0,73.8
30,B,Green,14.4,7.75,8.0,174.0,68.8,65.4
31,B,Blue,13.8,7.61,35.0,163.0,63.5,69.7
32,B,Green,15.2,8.27,14.0,188.0,67.0,50.6
33,B,Green,14.1,6.73,17.0,176.0,64.8,49.0
34,B,Blue,14.2,8.43,29.0,177.0,69.6,85.3
35,B,Green,14.3,13.3,9.0,179.0,68.3,74.0
36,B,Blue,13.8,6.09,33.0,171.0,NA,40.3
37,B,Blue,14.4,7.71,33.0,182.0,65.5,59.6
38,B,Brown,14.1,7.95,32.0,178.0,70.1,69.0
39,B,Brown,15.8,NA,16.0,186.0,71.1,62.5
40,B,Green,13.7,7.6,6.0,176.0,67.6,66.9
41,B,Blue,15.8,7.79,32.0,184.0,68.8,56.3
42,B,Green,13.2,7.75,9.0,168.0,65.9,74.2
43,B,Green,14.5,7.78,18.0,169.0,65.1,63.5
44,B,Brown,NA,7.36,25.0,175.0,65.2,63.6
45,B,Brown,13.9,6.45,22.0,170.0,68.1,47.1
46,B,Green,14.0,8.29,10.0,173.0,65.3,66.4
47,B,Blue,13.2,6.56,34.0,175.0,65.2,58.6
48,B,Green,14.5,8.79,8.0,170.0,65.6,56.5
49,B,Blue,14.3,6.92,39.0,167.0,65.9,52.4
50,B,Brown,14.3,6.77,21.0,184.0,65.1,55.1
51,B,Brown,14.6,7.5,23.0,172.0,64.2,59.6
52,B,Green,13.4,7.25,6.0,168.0,65.2,61.2
53,B,Brown,15.8,7.8,30.0,185.0,70.6,66.5
54,B,Brown,15.2,7.78,37.0,183.0,68.3,72.9
55,B,Blue,14.5,7.73,31.0,183.0,67.5,62.8
56,B,Blue,15.9,7.74,34.0,194.0,71.5,68.0
57,B,Brown,15.2,7.41,35.0,187.0,66.8,64.2
58,B,Brown,14.5,7.49,33.0,178.0,63.3,65.8
59,B,Blue,14.1,8.98,39.0,168.0,69.7,93.2
60,B,Brown,14.7,7.41,25.0,184.0,68.6,45.6
61,B,Brown,13.6,7.42,24.0,172.0,63.8,56.1
62,B,Brown,15.1,7.07,25.0,176.0,66.8,63.2
63,B,Brown,13.6,7.05,20.0,167.0,67.0,57.0
64,B,Brown,15.3,7.25,23.0,188.0,68.5,59.7
65,B,Green,14.1,5.49,8.0,180.0,69.0,34.6
66,B,Blue,15.5,7.7,31.0,180.0,68.2,60.5
67,B,Brown,13.2,6.99,34.0,171.0,63.0,61.9
68,C,Blue,13.1,6.65,35.0,107.0,58.4,61.5
69,C,Brown,12.8,6.12,20.0,105.0,54.4,53.0
70,C,Green,11.3,7.12,11.0,99.0,55.1,63.6
71,C,Brown,11.5,6.4,24.0,97.0,54.7,55.6
72,C,Brown,12.5,5.06,28.0,103.0,53.6,31.6
73,C,Blue,12.7,7.83,38.0,95.0,61.7,68.2
74,C,Green,16.0,7.77,10.0,118.0,70.1,69.8
75,C,Blue,14.3,6.64,32.0,128.0,64.6,52.6
76,C,Brown,11.9,6.08,31.0,98.0,55.2,49.5
77,C,Green,11.5,7.34,7.0,109.0,55.9,78.4
78,C,Brown,12.3,5.64,23.0,90.0,60.0,38.0
79,C,Brown,12.5,7.54,30.0,103.0,62.1,67.4
80,C,Brown,11.5,7.09,21.0,109.0,51.1,41.8
81,C,Brown,11.1,6.11,21.0,100.0,47.5,58.9
82,C,Green,11.2,5.53,8.0,98.0,55.3,45.1
83,C,Brown,15.1,7.47,23.0,109.0,68.0,58.9
84,C,Blue,13.8,7.58,49.0,113.0,59.5,71.6
85,C,Brown,13.6,6.45,26.0,107.0,65.4,52.9
86,C,Green,12.1,7.13,16.0,106.0,59.4,62.9
87,C,Green,13.8,7.0,10.0,117.0,64.9,59.9
88,C,Brown,12.4,6.29,26.0,108.0,57.4,49.1
89,C,Blue,13.2,6.91,29.0,118.0,60.1,58.1
90,C,Brown,12.2,5.75,16.0,101.0,56.2,50.2
91,C,Green,11.6,7.11,14.0,103.0,55.4,64.9
92,C,Brown,12.7,7.24,25.0,106.0,59.3,59.3
93,C,Brown,13.2,6.96,26.0,100.0,56.9,56.2
94,C,Green,14.4,7.95,9.0,102.0,63.4,70.4
95,C,Blue,15.1,6.34,51.0,117.0,68.9,38.5
96,C,Brown,12.5,6.45,26.0,104.0,59.9,54.1
97,C,Green,12.8,6.36,4.0,116.0,57.7,59.1
98,C,Green,11.9,5.62,15.0,101.0,52.1,41.0
99,C,Blue,11.2,6.03,25.0,92.0,50.8,44.3
100,C,Blue,10.5,5.96,30.0,95.0,47.7,53.5
101,C,Green,12.5,7.08,21.0,100.0,56.5,41.0
102,C,Green,13.6,7.66,11.0,103.0,61.5,79.9
103,C,Brown,11.1,6.07,29.0,105.0,50.8,53.7
104,D,Blue,14.8,8.44,28.0,193.0,69.8,74.8
105,D,Green,15.8,7.71,11.0,213.0,72.3,61.0
106,D,Blue,16.5,8.35,38.0,212.0,72.4,82.7
107,D,Green,14.9,8.3,4.0,197.0,71.2,81.2
108,D,Green,16.6,7.44,4.0,217.0,75.1,70.1
109,D,Brown,15.6,8.02,19.0,212.0,69.3,52.6
110,D,Brown,16.2,8.35,22.0,207.0,70.9,53.9
111,D,Green,15.7,6.3,9.0,209.0,68.8,37.6
112,D,Green,13.8,6.39,15.0,191.0,68.7,46.0
113,D,Green,15.5,8.81,13.0,210.0,76.7,89.9
114,D,Blue,15.8,6.92,30.0,210.0,72.3,49.6
115,D,Green,16.7,8.61,8.0,236.0,78.1,63.3
116,D,Green,14.8,8.68,14.0,206.0,71.5,68.4
117,D,Brown,15.3,8.89,32.0,202.0,69.8,61.4
118,D,Brown,14.9,9.23,22.0,195.0,69.5,71.2
119,D,Brown,15.1,5.72,27.0,198.0,70.9,32.9
120,D,Blue,14.6,7.76,37.0,212.0,70.3,59.2
121,D,Green,15.2,6.89,5.0,203.0,66.7,58.2
122,D,Green,15.7,7.98,12.0,216.0,71.0,70.4
123,D,Blue,15.2,7.85,35.0,206.0,70.8,74.3
124,D,Blue,15.6,7.89,38.0,214.0,74.5,66.7
125,D,Brown,13.9,8.09,27.0,194.0,66.1,71.3
126,D,Green,15.9,7.99,6.0,201.0,72.4,66.5
127,D,Blue,14.2,7.28,29.0,206.0,65.8,52.7
128,D,Brown,15.0,8.0,23.0,198.0,70.5,64.1
129,D,Blue,14.1,7.82,39.0,188.0,67.6,68.4
130,D,Brown,13.6,7.06,33.0,199.0,65.9,62.9
131,E,Blue,11.5,7.09,35.0,189.0,53.5,56.3
132,E,Blue,11.3,5.81,29.0,194.0,51.5,49.2
133,E,Green,11.8,6.23,10.0,195.0,51.4,56.7
134,E,Green,11.1,7.21,20.0,199.0,50.6,55.8
135,E,Green,11.0,6.59,14.0,194.0,51.9,50.1
136,E,Blue,12.1,5.45,33.0,195.0,52.2,40.6
137,E,Brown,11.7,5.51,22.0,201.0,50.2,52.1
138,E,Blue,12.2,6.24,32.0,193.0,56.5,44.3
139,E,Green,12.3,5.8,25.0,205.0,53.1,49.4
140,E,Blue,11.7,5.8,34.0,196.0,49.7,21.1
141,E,Green,11.1,5.63,21.0,193.0,54.2,45.9
142,E,Green,11.6,6.01,17.0,202.0,55.9,47.5
143,E,Green,13.1,6.93,10.0,213.0,56.3,67.1
144,E,Green,10.4,5.54,17.0,193.0,48.8,44.3
145,E,Green,12.4,6.95,8.0,205.0,52.9,61.6
146,E,Green,11.8,9.07,15.0,193.0,57.1,80.4
147,E,Brown,11.8,6.44,22.0,187.0,53.5,59.1
148,E,Blue,12.7,5.27,33.0,201.0,54.3,36.2
149,E,Blue,13.0,6.68,35.0,204.0,56.5,48.1
150,E,Blue,12.4,6.38,32.0,205.0,55.9,45.5
151,E,Blue,11.0,6.98,25.0,194.0,54.4,70.2
152,E,Blue,12.5,6.8,23.0,200.0,55.0,52.7
153,E,Blue,11.8,5.97,33.0,188.0,51.7,40.9
154,E,Brown,10.9,6.28,22.0,192.0,48.4,52.5
155,E,Brown,11.0,7.74,17.0,193.0,52.1,69.1
156,E,Green,10.9,7.13,9.0,204.0,50.0,68.7
157,E,Green,10.8,6.15,16.0,198.0,49.3,37.2
158,E,Green,10.0,6.21,15.0,194.0,48.6,64.8
159,E,Green,11.7,6.29,11.0,191.0,54.7,56.1
160,E,Brown,11.6,6.27,26.0,194.0,54.7,50.9
161,E,Blue,13.2,7.77,29.0,203.0,60.6,81.4
162,E,Green,11.6,6.27,12.0,195.0,49.8,53.6
163,E,Green,12.5,8.1,18.0,201.0,53.6,67.8
164,E,Blue,11.7,5.45,20.0,198.0,52.3,42.5
165,E,Brown,11.5,5.3,23.0,201.0,54.4,42.7
166,E,Blue,11.5,5.47,35.0,186.0,54.0,38.6
167,E,Green,11.9,5.66,15.0,196.0,55.4,47.7
168,E,Blue,12.7,7.66,31.0,192.0,57.2,68.3
169,E,Brown,11.3,5.99,27.0,194.0,51.3,61.0
170,E,Brown,11.2,5.14,27.0,185.0,50.9,44.3
171,E,Green,12.9,6.11,13.0,217.0,56.3,54.8
172,E,Green,12.3,7.15,4.0,208.0,55.5,74.7
173,E,Green,11.1,7.2,14.0,186.0,54.2,62.7
174,E,Green,11.0,5.5,15.0,189.0,49.4,33.7
175,F,Brown,13.5,7.92,24.0,170.0,61.2,60.1
176,F,Blue,13.2,5.82,26.0,164.0,57.6,51.1
177,F,Blue,13.9,6.93,30.0,182.0,60.9,53.7
178,F,Brown,12.7,5.61,24.0,180.0,60.1,32.8
179,F,Blue,12.6,6.49,33.0,185.0,54.9,54.1
180,F,Blue,13.3,7.41,30.0,170.0,59.7,48.7
181,F,Brown,13.3,8.13,28.0,180.0,58.2,76.7
182,F,Brown,12.6,7.01,24.0,167.0,60.8,59.8
183,F,Blue,10.1,5.68,25.0,152.0,50.4,48.7
184,F,Blue,13.3,5.98,30.0,181.0,60.0,53.3
185,F,Green,12.5,6.04,17.0,174.0,55.8,48.3
186,F,Green,12.7,6.71,11.0,169.0,59.1,56.3
187,F,Brown,11.6,6.12,25.0,171.0,54.7,59.5
188,F,Brown,12.7,6.54,23.0,170.0,62.2,57.0
189,F,Green,12.6,6.55,6.0,168.0,57.5,55.0
190,F,Green,13.1,6.31,11.0,180.0,61.1,54.0
191,F,Blue,14.0,8.37,40.0,178.0,61.6,61.6
192,F,Blue,12.1,6.34,30.0,167.0,58.7,51.3
193,F,Brown,11.7,9.31,21.0,164.0,56.5,52.4
194,F,Blue,13.6,6.57,33.0,178.0,59.0,59.8
195,F,Brown,12.1,7.2,25.0,172.0,60.0,49.0
196,F,Green,12.5,7.25,17.0,182.0,59.0,57.0
197,F,Green,12.7,7.17,17.0,171.0,56.7,59.2
198,F,Blue,13.0,6.92,37.0,165.0,60.4,63.6
199,F,Blue,11.4,5.88,27.0,159.0,55.9,46.5
200,F,Blue,13.1,6.72,43.0,183.0,61.2,59.5
201,F,Brown,14.0,6.98,25.0,170.0,63.9,55.5
202,F,Brown,12.4,8.49,20.0,170.0,59.6,53.8
203,F,Brown,11.2,5.43,23.0,167.0,53.0,42.0
204,F,Brown,13.0,7.66,14.0,178.0,58.6,62.7
205,F,Green,13.3,7.47,12.0,180.0,60.5,45.6
206,F,Brown,13.1,7.09,16.0,174.0,60.4,45.3
207,F,Green,12.3,6.96,13.0,165.0,58.3,40.2
208,F,Brown,12.8,6.99,22.0,170.0,58.3,47.0
209,F,Brown,12.8,6.13,24.0,174.0,55.0,51.6
210,F,Blue,13.4,7.47,44.0,182.0,60.8,58.5
211,F,Brown,12.3,5.72,22.0,172.0,53.6,40.8
212,F,Brown,13.2,7.92,24.0,176.0,61.2,63.0
213,F,Blue,13.1,6.72,41.0,171.0,60.5,58.3
214,F,Brown,12.3,7.05,24.0,170.0,60.6,52.6
215,F,Blue,13.4,7.55,31.0,185.0,58.6,57.3
216,F,Brown,12.7,7.17,17.0,167.0,58.6,69.4
217,F,Brown,13.5,7.26,21.0,176.0,62.2,63.1
218,F,Blue,12.3,7.25,34.0,172.0,59.4,65.0
219,G,Brown,16.9,7.58,27.0,151.0,76.5,58.8
220,G,Blue,12.0,6.48,30.0,130.0,57.9,54.2
221,G,Blue,14.2,6.93,37.0,141.0,69.2,53.7
222,G,Green,14.6,7.69,17.0,146.0,63.0,69.4
223,G,Brown,13.8,7.6,22.0,138.0,63.0,69.4
224,G,Brown,12.1,6.52,22.0,133.0,58.4,51.1
225,G,Blue,15.0,8.36,41.0,152.0,65.6,42.9
226,G,Blue,14.0,9.14,35.0,145.0,62.1,57.2
227,G,Brown,13.1,7.46,18.0,140.0,64.7,61.7
228,G,Brown,11.3,7.95,22.0,127.0,55.3,75.5
229,G,Brown,12.3,7.43,19.0,127.0,61.0,73.4
230,G,Brown,13.6,7.44,27.0,134.0,63.5,68.6
231,G,Green,14.5,7.03,14.0,138.0,62.5,57.1
232,G,Blue,13.9,8.59,38.0,141.0,68.6,70.3
233,G,Green,12.2,6.1,4.0,130.0,53.7,58.6
234,G,Blue,14.5,6.72,29.0,137.0,65.3,40.0
235,G,Green,11.4,5.61,6.0,131.0,52.2,42.1
236,G,Brown,14.0,6.65,28.0,146.0,65.0,55.5
237,G,Brown,15.3,8.1,26.0,150.0,68.7,73.2
238,G,Blue,15.6,6.54,38.0,153.0,71.2,46.0
239,G,Brown,11.6,6.67,23.0,134.0,56.5,50.4
240,G,Brown,14.6,6.91,33.0,145.0,66.5,50.7
241,G,Green,12.5,6.78,13.0,128.0,59.0,54.2
242,G,Brown,14.5,8.36,29.0,142.0,68.4,81.1
243,G,Green,15.6,7.29,6.0,144.0,71.4,53.0
244,G,Brown,16.0,8.51,29.0,166.0,71.5,70.1
245,H,Green,10.1,8.93,21.0,165.0,44.1,70.7
246,H,Green,12.9,5.92,21.0,165.0,56.9,52.9
247,H,Green,11.9,6.75,13.0,176.0,57.4,43.6
248,H,Green,10.6,6.76,10.0,168.0,52.0,52.7
249,H,Brown,11.0,5.12,21.0,168.0,54.0,39.8
250,H,Green,11.8,7.25,4.0,173.0,53.7,59.7
251,H,Brown,12.3,6.82,15.0,176.0,54.7,65.4
252,H,Brown,13.8,5.87,38.0,178.0,60.1,46.2
253,H,Blue,10.4,4.96,37.0,174.0,43.3,40.0
254,H,Blue,11.9,6.18,31.0,156.0,53.5,56.7
255,H,Brown,12.1,6.31,16.0,174.0,51.4,60.9
256,H,Green,12.5,5.56,11.0,177.0,54.4,43.4
257,H,Green,10.8,4.99,6.0,166.0,47.8,33.0
258,H,Green,12.1,6.49,11.0,179.0,54.7,54.5
259,H,Blue,12.7,6.61,32.0,183.0,57.9,54.6
260,H,Green,12.8,6.77,6.0,166.0,58.4,61.3
261,H,Blue,9.4,4.42,28.0,161.0,40.3,41.5
262,H,Green,10.2,6.59,9.0,167.0,49.6,62.0
263,H,Blue,11.6,7.19,28.0,179.0,48.4,51.8
264,H,Blue,12.1,8.63,34.0,176.0,54.8,56.0
265,H,Brown,12.3,6.5,25.0,182.0,57.1,51.3
266,H,Green,9.7,6.27,11.0,160.0,47.2,42.3
267,H,Green,12.9,8.66,14.0,181.0,56.6,63.8
268,H,Blue,12.4,6.91,32.0,177.0,53.0,42.0
269,H,Blue,10.7,6.81,27.0,173.0,44.9,66.8
270,H,Green,12.6,6.99,8.0,181.0,56.8,63.1
271,H,Brown,10.2,5.72,25.0,167.0,50.2,40.6
272,H,Green,9.3,4.82,14.0,150.0,44.5,43.7
273,H,Blue,11.4,5.39,30.0,171.0,47.3,56.0
274,H,Green,11.1,6.14,14.0,175.0,50.1,57.0
275,H,Blue,10.0,5.98,21.0,172.0,48.6,54.2
276,H,Brown,11.9,6.52,26.0,177.0,50.1,54.8
277,H,Brown,12.1,6.72,15.0,181.0,55.4,62.7
278,H,Green,11.4,5.42,17.0,166.0,51.7,44.6
279,H,Green,11.7,6.28,21.0,181.0,50.6,51.0
280,H,Brown,11.1,7.28,17.0,167.0,50.8,31.4
281,H,Blue,11.6,6.45,29.0,169.0,55.8,43.4
282,H,Brown,13.0,7.06,26.0,179.0,63.9,56.4
283,H,Green,11.2,6.42,12.0,167.0,55.8,48.6
284,H,Green,12.3,5.24,6.0,174.0,51.8,40.5
285,H,Brown,10.2,6.17,18.0,175.0,44.3,59.0
286,H,Green,13.0,7.61,13.0,175.0,57.9,50.2
287,I,Green,12.4,7.13,16.0,138.0,54.9,62.5
288,I,Green,12.4,7.14,14.0,133.0,57.3,65.9
289,I,Green,13.8,6.4,5.0,147.0,61.0,51.6
290,I,Green,13.5,7.79,16.0,143.0,61.2,64.4
291,I,Blue,12.0,6.18,34.0,129.0,53.9,45.2
292,I,Blue,12.3,6.73,39.0,141.0,58.8,49.4
293,I,Brown,14.5,7.08,25.0,145.0,66.2,47.6
294,I,Blue,11.3,6.36,31.0,126.0,55.7,40.8
295,I,Blue,13.4,7.25,34.0,130.0,60.6,64.9
296,I,Blue,13.2,6.48,31.0,139.0,62.5,51.9
297,I,Brown,12.4,6.42,19.0,129.0,54.2,43.6
298,I,Green,13.2,7.04,19.0,143.0,57.9,62.1
299,I,Green,11.9,6.9,14.0,143.0,56.4,65.5
300,I,Blue,12.7,8.46,32.0,149.0,58.5,65.9
301,I,Brown,13.1,6.23,26.0,139.0,60.8,51.9
302,I,Brown,11.1,6.23,29.0,125.0,52.7,60.9
303,I,Brown,13.3,6.41,25.0,139.0,59.1,47.5
304,I,Brown,13.7,7.82,22.0,144.0,66.7,72.8
305,I,Green,11.5,5.95,23.0,126.0,48.1,52.7
306,I,Green,10.1,5.43,12.0,122.0,48.7,48.2
307,I,Green,11.3,5.48,21.0,125.0,52.0,47.1
308,I,Green,12.9,7.53,11.0,137.0,57.5,66.8
309,I,Green,11.5,5.93,24.0,128.0,48.4,41.1
310,I,Blue,14.0,6.2,34.0,126.0,64.4,45.4
311,I,Brown,14.1,8.54,33.0,141.0,64.9,81.3
312,I,Blue,12.0,5.64,21.0,132.0,54.4,51.7
313,I,Green,11.2,6.26,16.0,140.0,53.7,44.6
314,I,Green,13.2,6.33,4.0,148.0,56.7,44.1
315,I,Brown,11.4,5.61,22.0,136.0,54.6,46.7
316,I,Green,12.5,6.62,11.0,133.0,59.2,58.9
317,I,Brown,12.3,8.54,28.0,136.0,61.3,53.4
318,I,Brown,10.7,5.06,25.0,118.0,50.7,34.7
319,I,Blue,11.5,6.03,28.0,135.0,50.6,48.5
320,I,Brown,13.0,6.81,20.0,128.0,55.9,74.4
321,J,Green,16.7,8.71,3.0,156.0,75.1,77.1
322,J,Blue,16.6,8.1,41.0,140.0,74.3,65.1
323,J,Green,16.5,9.27,9.0,161.0,78.2,78.4
324,J,Brown,15.5,8.15,30.0,156.0,74.5,58.5
325,J,Green,13.9,7.63,12.0,133.0,68.9,74.3
326,J,Blue,15.3,8.69,39.0,151.0,73.4,68.1
327,J,Green,13.8,7.9,12.0,143.0,66.2,71.2
328,J,Green,15.6,8.69,7.0,159.0,70.9,68.0
329,J,Green,15.2,8.02,7.0,137.0,72.4,64.2
330,J,Blue,15.5,8.04,33.0,145.0,71.5,67.9
331,J,Blue,15.7,7.42,40.0,158.0,74.4,60.9
332,J,Blue,15.9,6.76,43.0,162.0,72.1,59.1
333,J,Green,15.9,8.57,1.0,156.0,78.0,72.9
